txt_const;pat_var;time;txt_var;pat_const;time
20;2;42;2;2;6
20;3;43;3;2;8
20;4;44;4;2;10
20;5;45;5;2;12
20;6;46;6;2;14
20;7;47;7;2;16
20;8;48;8;2;18
20;9;49;9;2;20
20;10;50;10;2;22
20;11;51;11;2;24
20;12;52;12;2;26
20;13;53;13;2;28
20;14;54;14;2;30
20;15;55;15;2;32
20;16;56;16;2;34
20;17;57;17;2;36
20;18;58;18;2;38
20;19;59;19;2;40
20;20;60;20;2;42
